id,function,field,ref,gen,ref_tokens,gen_tokens,semantic_similarity,bleu,completeness,f1_score,sbc
F003,ReadIntBetween,effect,指定された範囲内の整数値のみを安全に取得できる,指定された範囲内の整数が返される。,指定 さ れ た 範囲 内 の 整数 値 のみ を 安全 に 取得 できる,指定 さ れ た 範囲 内 の 整数 が 返さ れる 。,0.5702759623527527,0.47758380331786277,0.5333333333333333,0.5925925925925926,0.5536
F003,ReadIntBetween,constraint,ユーザーが不正な値を入力した場合はその都度再入力を促す,入力された整数が指定された範囲外の場合、範囲内の整数が入力されるまで再入力を求める。,ユーザー が 不正 な 値 を 入力 し た 場合 は その 都度 再 入力 を 促す,入力 さ れ た 整数 が 指定 さ れ た 範囲 外 の 場合 、 範囲 内 の 整数 が 入力 さ れる まで 再 入力 を 求める 。,0.7459245324134827,0.03958755899435821,0.4,0.35294117647058826,0.6061
F004,ReadDate,trigger,日付の入力をユーザーに求める必要があるとき,ユーザーが日付の入力を求められるメッセージを受け取るとき。,日付 の 入力 を ユーザー に 求める 必要 が ある とき,ユーザー が 日付 の 入力 を 求め られる メッセージ を 受け取る とき 。,0.8420751094818115,0.2224246939793677,0.6363636363636364,0.6086956521739131,0.739
F004,ReadDate,action,指定されたメッセージを表示し、日・月・年の3つの数値を標準入力から取得して構造体に格納する,ユーザーが日付を日、月、年の順に入力する。,指定 さ れ た メッセージ を 表示 し 、 日 ・ 月 ・ 年 の 3 つ の 数値 を 標準 入力 から 取得 し て 構造 体 に 格納 する,ユーザー が 日付 を 日 、 月 、 年 の 順 に 入力 する 。,0.6239657998085022,0.014011260470717282,0.3333333333333333,0.43902439024390244,0.5048
F004,ReadDate,effect,ユーザーが入力した日付情報を1つの構造体として取得できる,入力された日付がstDate構造体に格納され、関数がその構造体を返す。,ユーザー が 入力 し た 日付 情報 を 1 つ の 構造 体 として 取得 できる,入力 さ れ た 日付 が stDate 構造 体 に 格納 さ れ 、 関数 が その 構造 体 を 返す 。,0.6816790699958801,0.029883097780540872,0.4375,0.42424242424242425,0.5677
F004,ReadDate,constraint,入力値の妥当性(日付の正しさ)はこの関数では検証されない,入力は整数として日、月、年の順で行われる必要がある。,入力 値 の 妥当 性 ( 日付 の 正し さ ) は この 関数 で は 検証 さ れ ない,入力 は 整数 として 日 、 月 、 年 の 順 で 行わ れる 必要 が ある 。,0.5757797956466675,0.013670263578541062,0.23529411764705882,0.23529411764705882,0.4515
F005,ReadTime,trigger,ユーザーに時間(時・分)の入力を求める必要があるとき,ユーザーが時間を入力する必要があるときに関数が呼び出される。,ユーザー に 時間 ( 時 ・ 分 ) の 入力 を 求める 必要 が ある とき,ユーザー が 時間 を 入力 する 必要 が ある とき に 関数 が 呼び出さ れる 。,0.8550166487693787,0.1875114458383465,0.5625,0.6000000000000001,0.7298
F005,ReadTime,action,指定されたメッセージを表示し、時刻(時・分)を標準入力から読み取って構造体に格納する,ユーザーにメッセージを表示し、時間を入力させる。,指定 さ れ た メッセージ を 表示 し 、 時刻 ( 時 ・ 分 ) を 標準 入力 から 読み取っ て 構造 体 に 格納 する,ユーザー に メッセージ を 表示 し 、 時間 を 入力 さ せる 。,0.7000828385353088,0.12322239197678952,0.32,0.43243243243243246,0.5664
F005,ReadTime,effect,ユーザーが入力した時刻情報を1つの構造体として取得できる,ユーザーが入力した時間が構造体 `stTime` に格納されて返される。,ユーザー が 入力 し た 時刻 情報 を 1 つ の 構造 体 として 取得 できる,ユーザー が 入力 し た 時間 が 構造 体   ` stTime `   に 格納 さ れ て 返さ れる 。,0.7798032760620117,0.18597237212366716,0.4375,0.39999999999999997,0.652
F005,ReadTime,constraint,時間の範囲(例:0〜23時など)の妥当性はこの関数内では検証されない,ユーザーは時間を整数として入力しなければならない。,時間 の 範囲 ( 例 : 0 〜 23 時 など ) の 妥当 性 は この 関数 内 で は 検証 さ れ ない,ユーザー は 時間 を 整数 として 入力 し なけれ ば なら ない 。,0.5988918542861938,0.008123885219642656,0.13043478260869565,0.16666666666666669,0.4461
F006,IsDate1BeforeDate2,trigger,2つの日付の前後関係を比較したいとき,関数IsDate1BeforeDate2が呼び出されるとき。,2 つ の 日付 の 前後 関係 を 比較 し たい とき,関数 IsDate 1 BeforeDate 2 が 呼び出さ れる とき 。,0.6782621145248413,0.02054901307230194,0.18181818181818182,0.1904761904761905,0.5132
F006,IsDate1BeforeDate2,action,年・月・日の順に、Date1 が Date2 より前かどうかを比較する,Date1とDate2の日付を比較する。,年 ・ 月 ・ 日 の 順 に 、 Date 1   が   Date 2   より 前 か どう か を 比較 する,Date 1 と Date 2 の 日付 を 比較 する 。,0.8051905632019043,0.039707063250754425,0.35,0.4666666666666667,0.6376
F006,IsDate1BeforeDate2,effect,Date1 が Date2 より前なら true、そうでなければ false を返す,Date1がDate2より前の日付である場合にtrueを返す。,Date 1   が   Date 2   より 前 なら   true 、 そう で なけれ ば   false   を 返す,Date 1 が Date 2 より 前 の 日付 で ある 場合 に true を 返す 。,0.7621988654136658,0.03701567846694764,0.5882352941176471,0.6060606060606061,0.6549
F006,IsDate1BeforeDate2,constraint,日付の正当性(存在する日付かどうか)は前提として与えられている必要がある,Date1とDate2は有効な日付である必要がある。,日付 の 正当 性 ( 存在 する 日付 か どう か ) は 前提 として 与え られ て いる 必要 が ある,Date 1 と Date 2 は 有効 な 日付 で ある 必要 が ある 。,0.6974253058433533,0.046611520323629425,0.25,0.30303030303030304,0.5429
F007,IsTime1BeforeTime2,trigger,2つの時刻の前後関係を比較したいとき,関数IsTime1BeforeTime2が呼び出されるとき。,2 つ の 時刻 の 前後 関係 を 比較 し たい とき,関数 IsTime 1 BeforeTime 2 が 呼び出さ れる とき 。,0.6980345249176025,0.02054901307230194,0.18181818181818182,0.1904761904761905,0.527
F007,IsTime1BeforeTime2,action,時・分の順に、Time1 が Time2 より前かどうかを比較する,Time1とTime2の時刻を比較する。,時 ・ 分の 順 に 、 Time 1   が   Time 2   より 前 か どう か を 比較 する,Time 1 と Time 2 の 時刻 を 比較 する 。,0.8426439166069031,0.050444489409138024,0.3333333333333333,0.42857142857142855,0.6616
F007,IsTime1BeforeTime2,effect,Time1 が Time2 より前なら true、そうでなければ false を返す,Time1がTime2よりも前の時刻である場合にtrueを返す。,Time 1   が   Time 2   より 前 なら   true 、 そう で なけれ ば   false   を 返す,Time 1 が Time 2 より も 前 の 時刻 で ある 場合 に true を 返す 。,0.8054829239845276,0.0348744977550996,0.5882352941176471,0.5882352941176471,0.685
F007,IsTime1BeforeTime2,constraint,時刻が有効な値として与えられている前提で処理される(例:24時60分などの検証は行わない),Time1とTime2はstTime型であり、HourとMinuteのメンバーを持つ。,時刻 が 有効 な 値 として 与え られ て いる 前提 で 処理 さ れる ( 例 : 24 時 60 分 など の 検証 は 行わ ない ),Time 1 と Time 2 は stTime 型 で あり 、 Hour と Minute の メンバー を 持つ 。,0.397307813167572,0.00791690653958286,0.10344827586206896,0.13043478260869565,0.2996
F008,ExitScreen,trigger,プログラムの終了時にメッセージを表示したいとき,プログラムの終了時に呼び出される。,プログラム の 終了 時 に メッセージ を 表示 し たい とき,プログラム の 終了 時 に 呼び出さ れる 。,0.8294568657875061,0.355310106137518,0.45454545454545453,0.5263157894736842,0.7071
F008,ExitScreen,action,画面をクリアし、プロジェクト完了のメッセージと作成者情報を装飾付きで表示する,画面をクリアし、終了メッセージと作成者情報を表示する。,画面 を クリア し 、 プロジェクト 完了 の メッセージ と 作成 者 情報 を 装飾 付き で 表示 する,画面 を クリア し 、 終了 メッセージ と 作成 者 情報 を 表示 する 。,0.844203770160675,0.46757901748754266,0.6666666666666666,0.75,0.771
F008,ExitScreen,effect,ユーザーにプログラムが正常に終了したことと開発者情報が伝わる,ユーザーにプログラムの終了と作成者情報が視覚的に伝わる。,ユーザー に プログラム が 正常 に 終了 し た こと と 開発 者 情報 が 伝わる,ユーザー に プログラム の 終了 と 作成 者 情報 が 視覚 的 に 伝わる 。,0.9143286347389221,0.1169455115701007,0.6428571428571429,0.6428571428571429,0.7803
F008,ExitScreen,constraint,表示内容は固定で、動的な変更はできない,表示される情報は固定で、動的に変更されない。,表示 内容 は 固定 で 、 動的 な 変更 は でき ない,表示 さ れる 情報 は 固定 で 、 動的 に 変更 さ れ ない 。,0.9074855446815491,0.27668736912821895,0.7272727272727273,0.64,0.8084
F009,MainMenu,trigger,プログラム起動時に主要な操作をユーザーに選ばせたいとき,ユーザーがメインメニューを開くとき。,プログラム 起動 時 に 主要 な 操作 を ユーザー に 選ば せ たい とき,ユーザー が メイン メニュー を 開く とき 。,0.4574178159236908,0.017267606045625942,0.23076923076923078,0.2857142857142857,0.3681
F009,MainMenu,action,ユーザー・会議室・予約管理の各サブメニューを選択肢として表示し、対応する処理に遷移させる,ユーザーに1から4の選択肢を提示し、選択に応じた管理メニューを表示する。,ユーザー ・ 会議 室 ・ 予約 管理 の 各 サブ メニュー を 選択肢 として 表示 し 、 対応 する 処理 に 遷移 さ せる,ユーザー に 1 から 4 の 選択肢 を 提示 し 、 選択 に 応じ た 管理 メニュー を 表示 する 。,0.8174315094947815,0.030496131542058054,0.4782608695652174,0.5238095238095238,0.6709
F009,MainMenu,effect,ユーザーはメニューから目的の管理操作に移動できる,選択された管理メニューが実行され、ユーザーが4を選択するまでメインメニューが繰り返し表示される。,ユーザー は メニュー から 目的 の 管理 操作 に 移動 できる,選択 さ れ た 管理 メニュー が 実行 さ れ 、 ユーザー が 4 を 選択 する まで メイン メニュー が 繰り返し 表示 さ れる 。,0.7490790486335754,0.00956240657444202,0.2727272727272727,0.19999999999999998,0.5799
F009,MainMenu,constraint,有効な選択肢(1〜4)以外を入力した場合は再入力が求められる,ユーザーの選択は1から4の整数でなければならない。,有効 な 選択肢 ( 1 〜 4 ) 以外 を 入力 し た 場合 は 再 入力 が 求め られる,ユーザー の 選択 は 1 から 4 の 整数 で なけれ ば なら ない 。,0.5768564939498901,0.012464633492045013,0.15789473684210525,0.18181818181818182,0.4366
F010,main,trigger,プログラムが実行されたとき(エントリーポイント),プログラムが実行されるとき。,プログラム が 実行 さ れ た とき ( エントリー ポイント ),プログラム が 実行 さ れる とき 。,0.8139861226081848,0.24549475440235116,0.45454545454545453,0.5555555555555556,0.6852
F010,main,action,メインメニュー関数 MainMenu を呼び出し、ユーザーの操作を受け付ける,MainMenu関数が呼び出される。,メイン メニュー 関数   MainMenu   を 呼び出し 、 ユーザー の 操作 を 受け付ける,MainMenu 関数 が 呼び出さ れる 。,0.6339898705482483,0.01279742416007842,0.16666666666666666,0.2222222222222222,0.4784
F010,main,effect,ユーザーによる管理操作ができる状態でプログラムが起動する,プログラムはMainMenu関数の処理を実行し、終了する。,ユーザー による 管理 操作 が できる 状態 で プログラム が 起動 する,プログラム は MainMenu 関数 の 処理 を 実行 し 、 終了 する 。,0.7126968502998352,0.018476860420522198,0.18181818181818182,0.16666666666666669,0.5371
F010,main,constraint,メニュー終了後に正常終了コード(0)を返すだけで他の処理は行わない,MainMenu関数が正しく定義されている必要がある。,メニュー 終了 後 に 正常 終了 コード ( 0 ) を 返す だけ で 他 の 処理 は 行わ ない,MainMenu 関数 が 正しく 定義 さ れ て いる 必要 が ある 。,0.4935726821422577,0.0,0.0,0.0,0.3455
F011,DisplayUserCard,trigger,ユーザー情報を画面に表示したいとき,ユーザー情報を表示する必要があるときに関数が呼び出される。,ユーザー 情報 を 画面 に 表示 し たい とき,ユーザー 情報 を 表示 する 必要 が ある とき に 関数 が 呼び出さ れる 。,0.5897789597511292,0.07779637090949697,0.6666666666666666,0.5217391304347826,0.554
F011,DisplayUserCard,action,指定されたユーザー構造体からID・氏名情報を取り出し、整形して出力する,ユーザーのID、名前、苗字をフォーマットしてコンソールに出力する。,指定 さ れ た ユーザー 構造 体 から ID ・ 氏名 情報 を 取り出し 、 整形 し て 出力 する,ユーザー の ID 、 名前 、 苗字 を フォーマット し て コンソール に 出力 する 。,0.7811561226844788,0.03407106568427488,0.4,0.4571428571428572,0.6302
F011,DisplayUserCard,effect,個別ユーザーの基本情報がコンソール上に見やすく表示される,ユーザーの情報がコンソールに表示され、視覚的に確認できる。,個別 ユーザー の 基本 情報 が コンソール 上 に 見やすく 表示 さ れる,ユーザー の 情報 が コンソール に 表示 さ れ 、 視覚 的 に 確認 できる 。,0.8291472792625427,0.0925159978069645,0.6153846153846154,0.5714285714285715,0.7127
F011,DisplayUserCard,constraint,引数として有効なユーザー情報が与えられている必要がある(NULLチェックなし),UserPtrが有効なユーザーデータを指している必要がある。,引数 として 有効 な ユーザー 情報 が 与え られ て いる 必要 が ある ( NULL チェック なし ),UserPtr が 有効 な ユーザー データ を 指し て いる 必要 が ある 。,0.806580662727356,0.2562149310080693,0.4444444444444444,0.5161290322580646,0.6791
F012,ReadUserInfo,trigger,新しいユーザー情報を登録するために、ID・名前をユーザーから取得したいとき,ユーザー情報の入力を求めるプロンプトが表示される。,新しい ユーザー 情報 を 登録 する ため に 、 ID ・ 名前 を ユーザー から 取得 し たい とき,ユーザー 情報 の 入力 を 求める プロンプト が 表示 さ れる 。,0.6358842253684998,0.02224527381164508,0.17647058823529413,0.20689655172413793,0.4826
F012,ReadUserInfo,action,標準入力からユーザーのID・名・姓を受け取り、構造体に格納する,ユーザーがID、名前、苗字を入力する。,標準 入力 から ユーザー の ID ・ 名 ・ 姓 を 受け取り 、 構造 体 に 格納 する,ユーザー が ID 、 名前 、 苗字 を 入力 する 。,0.6440344452857971,0.015613033855554424,0.35294117647058826,0.4444444444444445,0.523
F012,ReadUserInfo,effect,ユーザー情報構造体が適切に初期化・設定され、後続処理で使用可能となる,入力された情報がUserInfo構造体に格納される。,ユーザー 情報 構造 体 が 適切 に 初期 化 ・ 設定 さ れ 、 後続 処理 で 使用 可能 と なる,入力 さ れ た 情報 が UserInfo 構造 体 に 格納 さ れる 。,0.7682034969329834,0.029800492269126882,0.3333333333333333,0.41176470588235287,0.6074
F012,ReadUserInfo,constraint,構造体のメモリ確保は呼び出し元で事前に行われている前提,IDは0から9999の範囲でなければならない。,構造 体 の メモリ 確保 は 呼び出し 元 で 事前 に 行わ れ て いる 前提,ID は 0 から 9999 の 範囲 で なけれ ば なら ない 。,0.5272695422172546,0.016234136350505617,0.1875,0.20689655172413793,0.4082
F013,SearchUserByFirstName,trigger,ユーザー一覧から、指定した名(First Name)で一致するユーザーを検索したいとき,ユーザーのリストが与えられたときに、特定の名前でユーザーを検索する必要がある。,ユーザー 一覧 から 、 指定 し た 名 ( First   Name ) で 一致 する ユーザー を 検索 し たい とき,ユーザー の リスト が 与え られ た とき に 、 特定 の 名前 で ユーザー を 検索 する 必要 が ある 。,0.7863993644714355,0.056586356745712406,0.4,0.41025641025641024,0.6361
F013,SearchUserByFirstName,action,線形リストを先頭から走査し、名が一致するユーザーが見つかればその情報を表示し、フラグを true に設定する,ユーザーリストを先頭から順に走査し、指定された名前と一致するユーザーを探す。,線形 リスト を 先頭 から 走査 し 、 名 が 一致 する ユーザー が 見つかれ ば その 情報 を 表示 し 、 フラグ を   true   に 設定 する,ユーザー リスト を 先頭 から 順に 走査 し 、 指定 さ れ た 名前 と 一致 する ユーザー を 探す 。,0.7748748660087585,0.14018211995773805,0.43478260869565216,0.47619047619047616,0.6434
F013,SearchUserByFirstName,effect,指定された名前に一致するユーザーの情報が表示され、検索結果の有無が呼び出し元で判定できる,一致するユーザーが見つかった場合、そのユーザーの情報を表示し、存在フラグを真に設定する。,指定 さ れ た 名前 に 一致 する ユーザー の 情報 が 表示 さ れ 、 検索 結果 の 有無 が 呼び出し 元 で 判定 できる,一致 する ユーザー が 見つかっ た 場合 、 その ユーザー の 情報 を 表示 し 、 存在 フラグ を 真に 設定 する 。,0.8299123048782349,0.06696317944050532,0.4090909090909091,0.43902439024390244,0.6695
F013,SearchUserByFirstName,constraint,一致するユーザーが複数いても全件表示され、部分一致には対応していない,ユーザーリストの終端に達するまで検索を続ける。,一致 する ユーザー が 複数 い て も 全 件 表示 さ れ 、 部分 一致 に は 対応 し て い ない,ユーザー リスト の 終端 に 達する まで 検索 を 続ける 。,0.5653417706489563,0.007530094129003774,0.1,0.12903225806451613,0.4165
F014,SearchUserByID,trigger,ユーザーIDを指定して該当ユーザーを検索したいとき,ユーザーIDを検索する要求が発生したとき。,ユーザー ID を 指定 し て 該当 ユーザー を 検索 し たい とき,ユーザー ID を 検索 する 要求 が 発生 し た とき 。,0.8530237078666687,0.10207580399073182,0.6,0.5454545454545454,0.7273
F014,SearchUserByID,action,ユーザーリストを先頭から順に走査し、IDが一致するユーザー構造体を見つけて返す,ユーザーリストを先頭から順に走査し、指定されたIDを持つユーザーを探す。,ユーザー リスト を 先頭 から 順に 走査 し 、 ID が 一致 する ユーザー 構造 体 を 見つけ て 返す,ユーザー リスト を 先頭 から 順に 走査 し 、 指定 さ れ た ID を 持つ ユーザー を 探す 。,0.8984161019325256,0.4315229271655712,0.5555555555555556,0.5714285714285715,0.7832
F014,SearchUserByID,effect,一致するユーザーが存在すればその情報を取得でき、存在しない場合は NULL が返る,指定されたIDを持つユーザーが見つかった場合、そのユーザーのポインタを返す。,一致 する ユーザー が 存在 すれ ば その 情報 を 取得 でき 、 存在 し ない 場合 は   NULL   が 返る,指定 さ れ た ID を 持つ ユーザー が 見つかっ た 場合 、 その ユーザー の ポインタ を 返す 。,0.7411671876907349,0.02306839528211931,0.3,0.3243243243243243,0.5811
F014,SearchUserByID,constraint,ユーザーリストが空または一致しない場合は NULL を扱う前提で呼び出す必要がある,ユーザーリストがNULLでないこと、およびユーザーIDが一意であること。,ユーザー リスト が 空 または 一致 し ない 場合 は   NULL   を 扱う 前提 で 呼び出す 必要 が ある,ユーザー リスト が NULL で ない こと 、 および ユーザー ID が 一意 で ある こと 。,0.705443263053894,0.0574971090640923,0.3684210526315789,0.4375,0.5732
F015,AddNewUser,trigger,ユーザーリストに新しいユーザーを末尾に追加したいとき,新しいユーザーをユーザーリストに追加する必要があるとき。,ユーザー リスト に 新しい ユーザー を 末尾 に 追加 し たい とき,新しい ユーザー を ユーザー リスト に 追加 する 必要 が ある とき 。,0.8226245045661926,0.1469410625195576,0.7,0.6363636363636365,0.7305
F015,AddNewUser,action,リストが空ならそのまま新規ノードを返し、空でない場合は末尾に新しいユーザーを連結する,新しいユーザーを既存のユーザーリストの末尾に追加する。,リスト が 空 なら そのまま 新規 ノード を 返し 、 空 で ない 場合 は 末尾 に 新しい ユーザー を 連結 する,新しい ユーザー を 既存 の ユーザー リスト の 末尾 に 追加 する 。,0.7653691172599792,0.052633238435666994,0.35,0.45161290322580644,0.611
F015,AddNewUser,effect,ユーザーリストが新しいユーザーを含んだ状態に更新される,ユーザーリストが更新され、新しいユーザーがリストの最後に含まれる。,ユーザー リスト が 新しい ユーザー を 含ん だ 状態 に 更新 さ れる,ユーザー リスト が 更新 さ れ 、 新しい ユーザー が リスト の 最後 に 含ま れる 。,0.8079978823661804,0.08910017878980071,0.6666666666666666,0.6153846153846153,0.7078
F015,AddNewUser,constraint,NewUser の構造体は事前に初期化・確保されている必要がある,ユーザーリストがNULLの場合、新しいユーザーがリストの先頭として設定される。,NewUser   の 構造 体 は 事前 に 初期 化 ・ 確保 さ れ て いる 必要 が ある,ユーザー リスト が NULL の 場合 、 新しい ユーザー が リスト の 先頭 として 設定 さ れる 。,0.6359743475914001,0.013448370812439775,0.15789473684210525,0.18181818181818182,0.4781
F016,DeleteUserByID,trigger,ユーザーIDを指定して対象ユーザーをリストから削除したいとき,ユーザーリストから特定のIDを持つユーザーを削除する要求があるとき。,ユーザー ID を 指定 し て 対象 ユーザー を リスト から 削除 し たい とき,ユーザー リスト から 特定 の ID を 持つ ユーザー を 削除 する 要求 が ある とき 。,0.779193103313446,0.0466276890237623,0.5833333333333334,0.5185185185185186,0.6668
F016,DeleteUserByID,action,リストを順に走査し、IDが一致するノードを見つけてリンクを切り、メモリを解放する,指定されたIDを持つユーザーをユーザーリストから検索し、見つけた場合はそのユーザーを削除する。,リスト を 順に 走査 し 、 ID が 一致 する ノード を 見つけ て リンク を 切り 、 メモリ を 解放 する,指定 さ れ た ID を 持つ ユーザー を ユーザー リスト から 検索 し 、 見つけ た 場合 は その ユーザー を 削除 する 。,0.7107690572738647,0.02333378465831188,0.4117647058823529,0.37837837837837834,0.5822
F016,DeleteUserByID,effect,指定したユーザーがリストから削除され、新たなリストが返される,指定されたIDを持つユーザーがユーザーリストから削除され、メモリが解放される。,指定 し た ユーザー が リスト から 削除 さ れ 、 新た な リスト が 返さ れる,指定 さ れ た ID を 持つ ユーザー が ユーザー リスト から 削除 さ れ 、 メモリ が 解放 さ れる 。,0.8120221495628357,0.2648634566399074,0.7333333333333333,0.6875,0.7416
F016,DeleteUserByID,constraint,削除対象のユーザーが存在しない場合の動作は undefined であり、事前確認が推奨される,ユーザーリストがNULLでないこと、削除するユーザーがリストに存在すること。,削除 対象 の ユーザー が 存在 し ない 場合 の 動作 は   undefined   で あり 、 事前 確認 が 推奨 さ れる,ユーザー リスト が NULL で ない こと 、 削除 する ユーザー が リスト に 存在 する こと 。,0.595410943031311,0.023148587840196102,0.3333333333333333,0.41176470588235287,0.4858
F017,AddNewUserScreen,trigger,ユーザー追加メニューを表示し、ユーザーの登録処理を開始したとき,新しいユーザーを追加するための画面が表示される。,ユーザー 追加 メニュー を 表示 し 、 ユーザー の 登録 処理 を 開始 し た とき,新しい ユーザー を 追加 する ため の 画面 が 表示 さ れる 。,0.5767042636871338,0.018445540119318492,0.38461538461538464,0.38461538461538464,0.4825
F017,AddNewUserScreen,action,ユーザー情報を入力・構造体に格納し、既存IDと重複しないかを確認してからリストに追加する,新しいユーザーの情報を読み取り、ユーザーリストに追加する。,ユーザー 情報 を 入力 ・ 構造 体 に 格納 し 、 既存 ID と 重複 し ない か を 確認 し て から リスト に 追加 する,新しい ユーザー の 情報 を 読み取り 、 ユーザー リスト に 追加 する 。,0.7371466159820557,0.08418096944738497,0.34782608695652173,0.4571428571428571,0.594
F017,AddNewUserScreen,effect,新しいユーザーが登録されるか、重複している場合は警告が表示される,ユーザーがリストに追加されるか、既に存在する場合はその旨が表示される。,新しい ユーザー が 登録 さ れる か 、 重複 し て いる 場合 は 警告 が 表示 さ れる,ユーザー が リスト に 追加 さ れる か 、 既に 存在 する 場合 は その 旨 が 表示 さ れる 。,0.7342931032180786,0.2704091953828695,0.5625,0.5294117647058824,0.6535
F017,AddNewUserScreen,constraint,標準入力から取得したIDが既に存在していた場合は追加せず、同じ画面内で完結する,追加するユーザーのIDが既存のユーザーリストに存在しない場合のみ追加が行われる。,標準 入力 から 取得 し た ID が 既に 存在 し て い た 場合 は 追加 せ ず 、 同じ 画面 内 で 完結 する,追加 する ユーザー の ID が 既存 の ユーザー リスト に 存在 し ない 場合 のみ 追加 が 行わ れる 。,0.7777550220489502,0.024763368007300866,0.2916666666666667,0.34146341463414637,0.6052
F018,SearchUserByFirstNameScreen,trigger,ユーザーの名(First Name)による検索画面を表示したとき,ユーザーがファーストネームの入力を求められたとき。,ユーザー の 名 ( First   Name ) による 検索 画面 を 表示 し た とき,ユーザー が ファースト ネーム の 入力 を 求め られ た とき 。,0.6189926862716675,0.03245439843740632,0.3125,0.35714285714285715,0.499
F018,SearchUserByFirstNameScreen,action,ユーザーに名を入力させ、その名に一致するユーザー情報を検索・表示する,ユーザーがファーストネームを入力し、プログラムがその名前でユーザーを検索する。,ユーザー に 名 を 入力 さ せ 、 その 名 に 一致 する ユーザー 情報 を 検索 ・ 表示 する,ユーザー が ファースト ネーム を 入力 し 、 プログラム が その 名前 で ユーザー を 検索 する 。,0.8505501747131348,0.03540625695011201,0.4666666666666667,0.4666666666666667,0.6923
