function_name,CONTRACT_purpose,CONTRACT_pre,CONTRACT_post,CONTRACT_errors,DATAFLOW_reads,DATAFLOW_writes,DATAFLOW_calls,ENTITIES_entity,ER_relation,UI_screen,FLOW_main
ReadUserInfo,ユーザー情報を読み取る,ユーザー情報ポインタが有効であること,ユーザー情報が正しく設定される,入力エラーやメモリ不足,ユーザーからの入力,ユーザー情報構造体への書き込み,ReadIntBetween関数,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,予約表示画面,ユーザーが予約を表示/ソートし、ユーザーIDと会議室IDを入力
SearchUserByFirstName,ユーザーの名前で検索し、存在する場合はユーザー情報を表示する。,UserListがNULLでないこと。,ユーザーが見つかった場合、IsExistがtrueに設定される。,ユーザーが見つからない場合、IsExistはfalseのまま。,UserListからユーザー情報を読み取る。,IsExistの値を更新する。,DisplayUserCard関数を呼び出す。,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,予約表示画面,ユーザーが名前を入力し、予約情報を表示する。
SearchUserByID,予約管理システムの機能を提供する。,ユーザーID、会議室ID、予約情報を入力する。,予約追加、検索、更新の結果を表示する。,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています,ユーザー情報、会議室情報、予約情報,新しい予約情報、更新された予約情報,SearchUserByID,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約表示/ソート機能,ユーザーが予約情報を入力し、システムが結果を表示する。
AddNewUser,新しいユーザーをリストに追加する,UserListがNULLまたは新しいユーザーが提供されること,新しいユーザーがリストの最後に追加される,UserListがNULLの場合、新しいユーザーを返す,UserListの現在の状態,UserListに新しいユーザーを追加,この関数は他の関数から呼び出される,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id,予約表示/ソート機能,ユーザーが予約リストを表示し、フィルタリングを行う
DeleteUserByID,予約管理システムの機能を提供する。,ユーザーID、会議室ID、予約情報を入力する。,予約追加、検索、更新の結果を返す。,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています,ユーザー情報、会議室情報、予約情報,新しい予約情報、更新された予約情報,予約追加、予約検索、予約更新,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約表示/ソート機能,ユーザーが予約情報を入力し、システムが結果を表示する
AddNewUserScreen,新しいユーザーを追加するための画面を表示する。,ユーザーリストが渡される。,新しいユーザーが追加されるか、既存のユーザーIDが通知される。,メモリ割り当て失敗、ユーザーIDの重複,ユーザー情報、ユーザーリスト、ユーザーID,新しいユーザーをユーザーリストに追加,"ScreenHeader, ReadUserInfo, SearchUserByID, AddNewUser, PauseProgram","User(id (PRIMARY KEY), 名前 (NOT NULL), メールアドレス (NOT NULL, UNIQUE), 作成日時 (NOT NULL))",Reservation.userId→User.id,新しいユーザー追加画面,ユーザー情報を入力し、追加ボタンを押す
SearchUserByFirstNameScreen,ユーザーの名前で検索する機能,ユーザーリストが提供されること,検索結果が表示されること,ユーザーが見つからない場合のエラーメッセージ,ユーザーリスト、ユーザーの名前,検索結果の表示,SearchUserByFirstName,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id,名前で検索する画面,ユーザーが名前を入力し、結果が表示される
SearchUserByIDScreen,予約管理システムの予約追加機能,ユーザーID、会議室ID、予約ID、予約開始日時、予約終了日時を入力する。,予約が追加され、成功メッセージまたはエラーメッセージを表示する。,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています,ユーザーID、会議室ID、予約情報,新しい予約情報,ユーザーと会議室の存在確認、予約追加処理,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約追加画面,ユーザーが必要な情報を入力し、予約を追加する
DisplayUserListScreen,ユーザーリストを表示する,UserListがNULLでないこと,ユーザー情報が表示される,リストが空の場合はメッセージを表示,UserListからユーザー情報を読み取る,画面にユーザー情報を表示,DisplayUserCard関数を呼び出す,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id,ユーザーリスト画面,ユーザーリストを表示し、空の場合はメッセージを表示
DeleteUserScreen,ユーザーを削除するための画面を表示する。,ユーザーIDを入力する。,指定されたユーザーが削除されるか、見つからない場合はエラーメッセージを表示する。,ユーザーが見つからない場合、または無効な入力があった場合のエラーメッセージ。,ユーザーリスト、ユーザーID、ユーザー選択。,更新されたユーザーリスト。,"SearchUserByID, DisplayUserCard, DeleteUserByID, PauseProgram","User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id,ユーザー削除画面,ユーザーIDを入力し、確認後に削除を実行する。
UserManagementMenu,ユーザー管理メニューの表示と操作,ユーザーリストが渡されること,ユーザーの追加、検索、表示、削除が行われる,無効な選択肢の場合はエラーメッセージを表示,ユーザーリストのデータを読み取る,ユーザーリストの更新,ユーザー追加、検索、表示、削除の各画面関数を呼び出す,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,ユーザー管理メニュー,ユーザーが選択肢を選び、対応する操作を実行
DisplayRoomCard,会議室の詳細情報を表示する,Roomポインタが有効であること,会議室の情報がコンソールに表示される,無効なRoomポインタの場合は未定義の動作,"Roomのプロパティ（ID, Name, IsReserved, Date, Start_Time, End_Time）",コンソールへの出力,printf関数,Room,Reservation.roomId→Room.id,会議室管理画面,会議室の詳細情報を表示する
ReadRoomInfo,会議室情報を読み込む,RoomPtrが有効であること,RoomInfoに部屋のIDと名前が設定される,無効な入力やメモリの問題,ユーザーからの入力（ID、名前）,RoomInfoのID、名前、IsReserved、Next,ReadIntBetween,"Room(id, 部屋名, 収容人数, 説明, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,会議室登録画面,ユーザーが会議室情報を入力し、保存する
SearchRoomByID,予約管理システムの予約追加、検索、更新機能を提供する。,ユーザーが予約情報を入力する。,予約が追加、検索、更新される。,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています,ユーザーID、会議室ID、予約情報,新しい予約情報,SearchRoomByID,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約追加画面、予約検索画面、予約更新画面,ユーザーが情報を入力し、システムが処理結果を表示する
AddNewRoom,新しい会議室を追加する,RoomListがNULLまたは新しい部屋が提供されること,新しい部屋がリストに追加される,RoomListがNULLの場合、新しい部屋を返す,RoomListの現在の状態を読み取る,新しい部屋をRoomListに追加する,この関数は他の関数を呼び出さない,Room,Reservation.roomId→Room.id,会議室管理画面,会議室追加リクエストを送信
SearchRoomByName,部屋名で会議室を検索し、存在する場合は詳細を表示する。,RoomListがNULLでないこと。,IsExistがtrueに設定され、該当する会議室の詳細が表示される。,該当する会議室が存在しない場合、IsExistはfalseのまま。,RoomListから会議室情報を読み取る。,IsExistの値を更新する。,DisplayRoomCard関数を呼び出して会議室の詳細を表示する。,Room,Reservation.roomId→Room.id,会議室管理画面,ユーザーが会議室名を入力し、検索リクエストを送信する。
DeleteRoomByID,予約管理システムの予約追加、検索、更新機能を提供する。,ユーザーIDと会議室IDの存在を確認する。,予約情報をデータベースに保存し、成功メッセージを返す。,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています。,ユーザー情報、会議室情報、予約情報。,新しい予約情報。,会議室IDの存在チェック、予約情報の更新処理。,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約追加画面、予約検索画面、予約更新画面。,ユーザーID、会議室ID、予約情報を入力し、処理結果を表示する。
AddNewRoomScreen,新しい部屋を追加するための画面を表示し、部屋情報を入力させる。,部屋リストが存在すること。,新しい部屋が部屋リストに追加される。,部屋IDが既に存在する場合、エラーメッセージを表示する。,部屋情報を読み込む。,新しい部屋を部屋リストに追加する。,部屋情報を読み込む関数、部屋検索関数、部屋追加関数、プログラム一時停止関数。,"Room(id, 部屋名, 収容人数, 説明, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,会議室登録画面,ユーザーが部屋情報を入力し、追加ボタンを押す。
SearchRoomByNameScreen,会議室を名前で検索する,ユーザーが検索したい会議室の名前を入力する,会議室が見つからない場合、エラーメッセージを表示する,会議室が見つからない場合,ユーザーが入力した会議室名,検索結果の表示,SearchRoomByName関数,Room,Reservation.userId→User.id; Reservation.roomId→Room.id,会議室検索画面,ユーザーが名前を入力し、検索結果を表示する
SearchRoomByIDScreen,予約情報を追加するための機能,ユーザーID、会議室ID、予約開始日時、予約終了日時を入力させる,予約追加成功メッセージまたはエラーメッセージを表示する,ユーザーIDが存在しません、会議室IDが存在しません、予約が重複しています,ユーザーID、会議室ID、予約開始日時、予約終了日時,新しい予約情報,会議室IDの存在チェック,"Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,予約追加画面,ユーザーが情報を入力し、システムが予約を追加する
DisplayRoomListScreen,会議室リストを表示する,RoomListがNULLでないこと,全ての会議室情報が表示される,リストが空の場合はメッセージを表示,RoomListから各会議室情報を読み取る,表示用にコンソールに出力,DisplayRoomCard関数を呼び出す,Room,Reservation.roomId→Room.id,会議室管理画面,会議室リストを取得して表示
DeleteRoomScreen,会議室を削除するための機能,削除する会議室のIDを入力する,指定されたIDの会議室が削除される,指定されたIDの会議室が見つからない場合、エラーメッセージを表示,会議室のID、ユーザーの選択,会議室リストの更新,"SearchRoomByID, DisplayRoomCard, DeleteRoomByID, PauseProgram","Room(id, 部屋名, 収容人数, 説明, 作成日時)",Reservation.userId→User.id; Reservation.roomId→Room.id,会議室削除画面,ID入力 -> 確認メッセージ -> 削除処理
CheckRoomAvailabilityScreen,会議室の空き状況を確認するための画面を表示する。,ユーザーが会議室の空き状況を確認したい。,ユーザーが選択した方法で会議室の空き状況を検索する。,無効な選択肢が入力された場合、エラーメッセージを表示する。,ユーザーの選択肢を読み取る。,選択された方法に基づいて会議室の検索を実行する。,SearchRoomByNameScreenまたはSearchRoomByIDScreenを呼び出す。,Room,Reservation.userId→User.id; Reservation.roomId→Room.id,会議室空き状況確認画面,ユーザーが選択肢を選び、対応する検索画面に遷移する。
RoomManagementMenu,会議室管理メニューの表示と操作,ユーザーがメニューを開くと、選択肢が表示される。,ユーザーの選択に応じた操作が実行される。,無効な選択肢が入力された場合、エラーメッセージを表示する。,ユーザーの選択肢を読み取る。,選択された操作に基づいて、会議室情報を更新または表示する。,各操作に対応する関数を呼び出す。,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,会議室管理画面,ユーザーがメニューから操作を選択し、対応する画面に遷移する。
DisplayReservationCard,予約カードの表示,ReservationPtr型の予約情報が必要,予約情報がフォーマットされた形で表示される,予約情報がNULLの場合、未定義の動作が発生する可能性がある,Reservationの各フィールド,コンソールへの出力,printf関数,"Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,予約表示画面,予約情報を取得し、表示する
SearchReservationByID,予約情報の検索機能を提供する。,予約IDを入力する。,該当する予約情報を返す。,予約が見つからない場合はエラーメッセージを返す。,予約リストから予約情報を読み取る。,該当する予約情報を返す。,SearchReservationByID関数を呼び出す。,Reservation,Reservation.userId→User.id; Reservation.roomId→Room.id,予約検索画面,ユーザーが予約IDを入力し、検索ボタンを押す。
DeleteReservationByID,予約をIDで削除する,削除する予約IDを指定する,予約が削除され、更新された予約リストが返される,指定されたIDの予約が存在しない場合、エラーメッセージを返す,予約リストから指定されたIDの予約を検索する,指定されたIDの予約を削除し、更新された予約リストを返す,メモリ解放のためにfree関数を呼び出す,Reservation,Reservation.userId→User.id; Reservation.roomId→Room.id,予約管理画面,ユーザーが予約IDを入力し、削除ボタンを押すと、予約が削除される
ReadReservationPeriod,予約期間を読み取り、部屋の予約情報を設定する。,ReservationPtrとRoomPtrが有効なポインタであること。,ReservationInfoとRoomに予約情報が設定される。,無効な入力やメモリの問題が発生する可能性がある。,ユーザーからの予約日付と時間の入力。,ReservationInfoとRoomに予約情報を設定。,ReadDateとReadTime関数を呼び出す。,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約画面,ユーザーが予約情報を入力し、予約を追加する。
ReadReservationInfo,予約情報を読み取る,予約リストとユーザーリストが存在すること,新しい予約情報がReservationInfoに格納される,IDの重複、ユーザーIDの不正、部屋の予約状況,"ReservationList, UserList, RoomList",ReservationInfo,"ReadIntBetween, SearchReservationByID, SearchUserByID, SearchRoomByID, ReadReservationPeriod","User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約情報入力画面,ユーザーID、部屋ID、予約期間を入力し、予約を追加
AddNewReservation,新しい予約を追加する,ReservationListがNULLでない場合、リストの最後にNewReservationを追加する,ReservationListが返される,ReservationListがNULLの場合、NewReservationを返す,ReservationListとNewReservationの情報を読み取る,NewReservationをReservationListに追加する,この関数は他の関数から呼び出される,"Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,予約管理画面,予約追加リクエストを送信し、全予約を取得する
AddNewReservationScreen,新しい予約を追加するための画面を表示し、ユーザーからの入力を受け取る。,予約リスト、ユーザーリスト、部屋リストが必要。,新しい予約が追加され、成功メッセージが表示される。,メモリ割り当て失敗や入力エラーが発生する可能性がある。,予約リスト、ユーザーリスト、部屋リストから情報を読み取る。,新しい予約を予約リストに追加する。,ReadReservationInfo、AddNewReservation、PauseProgramを呼び出す。,"Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,新しい予約追加画面,ユーザーが予約情報を入力し、送信すると予約が追加される。
DeleteReservationScreen,予約の削除を行う,予約IDを入力する,予約が削除されたことを通知する,予約が見つからない場合、エラーメッセージを表示する,予約リストと部屋リストからデータを読み取る,予約リストを更新し、部屋の予約状況を変更する,予約を検索し、削除する関数を呼び出す,Reservation,Reservation.userId→User.id; Reservation.roomId→Room.id,削除予約画面,ユーザーがIDを入力し、確認後に予約を削除する
DisplayReservationsScreen,予約リストを表示する,予約リストが存在するか確認する,予約リストを画面に表示する,リストが空の場合はメッセージを表示,ReservationList,画面出力,"ScreenHeader, DisplayReservationCard, PauseProgram","Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,予約一覧画面,予約がある場合はリストを表示し、ない場合は空メッセージを表示
SwapReservationData,予約データを2つの予約間でスワップする。,Reservation1とReservation2は有効なポインタである必要がある。,Reservation1とReservation2のデータが入れ替わる。,無効なポインタが渡された場合、未定義の動作が発生する可能性がある。,Reservation1とReservation2の各フィールド。,Reservation1とReservation2の各フィールド。,この関数は他の関数を呼び出さない。,Reservation,Reservation.userId→User.id; Reservation.roomId→Room.id,予約管理画面,予約のスワップ操作が行われる。
SortReservationsByDate,予約を日付でソートする,予約リストが存在すること,日付でソートされた予約リストを返す,予約リストがNULLの場合はエラーを返す,予約リストの各予約データ,ソートされた予約リスト,"IsDate1BeforeDate2, SwapReservationData","Reservation, User, Room",Reservation.userId→User.id; Reservation.roomId→Room.id,予約一覧画面,日付でソートされた予約を表示
SortReservationsByDateScreen,予約を日付でソートする,予約リストが空でないことを確認する,予約が正常にソートされ、メッセージが表示される,リストが空の場合、エラーメッセージを表示,予約リストの内容,ソートされた予約リスト,SortReservationsByDate関数,Reservation,Reservation.userId→User.id; Reservation.roomId→Room.id,予約日付ソート画面,ユーザーが予約を日付でソートするリクエストを送信
ReservationManagementMenu,予約管理メニューの表示と操作,予約リスト、ユーザーリスト、部屋リストを準備すること,ユーザーの選択に応じた操作を実行すること,無効な選択肢が入力された場合にエラーメッセージを表示,予約リスト、ユーザーリスト、部屋リスト,新しい予約の追加、予約の削除、予約の表示、予約のソート,"AddNewReservationScreen, DeleteReservationScreen, DisplayReservationsScreen, SortReservationsByDateScreen","User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約管理メニュー,ユーザーが選択肢を選び、対応する操作を実行
