id,分類,機能名,概要,入力,出力,利用者
fun-014,会議室管理,会議室削除,指定された会議室IDに一致する会議室情報をシステムから削除します。削除前に確認を求めます。,削除対象の会議室ID (文字列),「会議室削除成功」メッセージ、または「指定された会議室IDは存在しません」などのエラーメッセージ,システム利用者
fun-015,会議室管理,会議室ID入力,会議室IDの入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された会議室ID (文字列),システム利用者
fun-016,会議室管理,会議室名入力,会議室名の入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された会議室名 (文字列),システム利用者
fun-017,会議室管理,収容人数入力,会議室の収容人数の入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された収容人数 (整数),システム利用者
fun-018,会議室管理,会議室情報更新,指定された会議室IDの会議室名や収容人数などの情報を更新します。,"更新対象の会議室ID (文字列), 新しい会議室名 (文字列), 新しい収容人数 (整数)",「会議室情報更新成功」メッセージ、または「指定された会議室IDは存在しません」などのエラーメッセージ,システム利用者
fun-019,予約管理,予約管理メニュー表示,予約管理機能のサブメニュー（追加、検索、表示、削除など）を表示します。,なし,"予約管理メニュー選択肢の表示（例: 1.予約追加, 2.予約検索, 3.全予約表示, 4.予約削除, 5.予約情報更新, 6.会議室の空き状況確認, 0.戻る）",システム利用者
fun-020,予約管理,予約追加,新しい予約情報をシステムに登録します。予約ID、ユーザーID、会議室ID、予約開始日時、予約終了日時を入力させます。,"予約ID (文字列), ユーザーID (文字列), 会議室ID (文字列), 予約開始日時 (日時文字列), 予約終了日時 (日時文字列)",「予約追加成功」メッセージ、または「ユーザーIDが存在しません」、「会議室IDが存在しません」、「予約が重複しています」などのエラーメッセージ,システム利用者
fun-021,予約管理,予約検索,予約ID、ユーザーID、会議室ID、または日付範囲などを入力として受け取り、該当する予約情報を検索し表示します。,検索キーワード（予約ID、ユーザーID、会議室IDの一部、または日付範囲） (文字列/日時),検索結果の予約情報リスト、または「該当する予約は見つかりませんでした」メッセージ,システム利用者
fun-022,予約管理,全予約表示,システムに登録されている全ての予約情報を一覧で表示します。,なし,全予約情報リスト、または「登録されている予約はありません」メッセージ,システム利用者
fun-023,予約管理,予約削除,指定された予約IDに一致する予約情報をシステムから削除します。削除前に確認を求めます。,削除対象の予約ID (文字列),「予約削除成功」メッセージ、または「指定された予約IDは存在しません」などのエラーメッセージ,システム利用者
fun-024,予約管理,予約ID入力,予約IDの入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された予約ID (文字列),システム利用者
fun-025,予約管理,予約開始日時入力,予約の開始日時の入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された予約開始日時 (日時文字列),システム利用者
fun-026,予約管理,予約終了日時入力,予約の終了日時の入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力された予約終了日時 (日時文字列),システム利用者
fun-027,予約管理,予約情報更新,指定された予約IDのユーザー、会議室、日時などの情報を更新します。,"更新対象の予約ID (文字列), 新しいユーザーID (文字列), 新しい会議室ID (文字列), 新しい予約開始日時 (日時文字列), 新しい予約終了日時 (日時文字列)",「予約情報更新成功」メッセージ、またはエラーメッセージ（例: 「予約IDが存在しません」、「予約が重複しています」）,システム利用者
fun-028,予約管理,会議室の空き状況確認,指定された会議室IDと期間に対して、会議室の空き状況を確認し、予約可能かどうかを判定します。,"会議室ID (文字列), 開始日時 (日時文字列), 終了日時 (日時文字列)",「会議室は予約可能です」または「会議室は予約できません（重複予約が存在します）」メッセージ,システム利用者
fun-029,データ表示・ソート,予約リスト日付ソート表示,システムに登録されている全ての予約情報を日付（開始日時）順にソートして表示します。,なし,日付でソートされた予約情報リスト,システム利用者
fun-030,データ表示・ソート,特定ユーザーの予約表示,指定されたユーザーIDに関連する全ての予約情報を表示します。,ユーザーID (文字列),該当ユーザーの予約情報リスト、または「指定されたユーザーの予約はありません」メッセージ,システム利用者
fun-031,データ表示・ソート,特定会議室の予約表示,指定された会議室IDに関連する全ての予約情報を表示します。,会議室ID (文字列),該当会議室の予約情報リスト、または「指定された会議室の予約はありません」メッセージ,システム利用者
fun-032,データ表示・ソート,予約期間指定検索表示,開始日と終了日を指定し、その期間内にある予約情報を検索して表示します。,"検索開始日 (日付文字列), 検索終了日 (日付文字列)",指定期間内の予約情報リスト、または「該当する予約は見つかりませんでした」メッセージ,システム利用者
fun-033,システム共通,メインメニュー選択処理,メインメニューからユーザーが選択した項目に応じて、対応するサブメニューまたは機能へ遷移します。,ユーザーの選択 (整数),選択された機能への遷移、または「無効な選択です」エラーメッセージ,システム利用者
fun-034,システム共通,サブメニュー表示,ユーザー管理、会議室管理、予約管理などの各サブメニューを表示します。,"メニューの種類 (文字列, 例: ""ユーザー"", ""会議室"", ""予約"")",指定された種類のサブメニュー選択肢,システム利用者
fun-035,システム共通,サブメニュー選択処理,サブメニューからユーザーが選択した項目に応じて、対応する機能へ遷移します。,"ユーザーの選択 (整数), メニューの種類 (文字列)",選択された機能への遷移、または「無効な選択です」エラーメッセージ,システム利用者
fun-036,システム共通,終了処理,プログラムを安全に終了します。必要に応じてデータの保存を行います。,なし,「プログラムを終了します」メッセージ,システム利用者
fun-037,システム共通,ユーザー入力受付,ユーザーに任意の情報を入力するよう促し、入力された文字列を受け取ります。,プロンプトメッセージ (文字列),入力された文字列 (文字列),システム利用者
fun-038,システム共通,エラーメッセージ表示,処理中に発生したエラーをユーザーに分かりやすく表示します。,エラーメッセージ (文字列),エラーメッセージのコンソール出力,システム利用者
fun-039,システム共通,成功メッセージ表示,処理が正常に完了したことをユーザーに知らせるメッセージを表示します。,成功メッセージ (文字列),成功メッセージのコンソール出力,システム利用者
fun-040,システム共通,データ読み込み,システム起動時または必要に応じて、永続化されたデータ（ファイルなど）を読み込み、メモリ上にロードします。,データファイルパス (文字列),"読み込まれたユーザー、会議室、予約データ (データ構造), またはエラー通知",システム利用者
fun-041,システム共通,データ保存,プログラム終了時または必要に応じて、メモリ上のデータを永続化（ファイルに書き込み）します。,"データファイルパス (文字列), 保存対象のデータ (データ構造)",「データ保存成功」メッセージ、またはエラー通知,システム利用者
fun-042,入力検証・確認,ユーザーIDの存在チェック,入力されたユーザーIDがシステムに登録されているかどうかを確認します。,チェック対象のユーザーID (文字列),ユーザーが存在する場合 true、しない場合 false,システム利用者
fun-043,入力検証・確認,会議室IDの存在チェック,入力された会議室IDがシステムに登録されているかどうかを確認します。,チェック対象の会議室ID (文字列),会議室が存在する場合 true、しない場合 false,システム利用者
fun-044,入力検証・確認,予約IDの存在チェック,入力された予約IDがシステムに登録されているかどうかを確認します。,チェック対象の予約ID (文字列),予約が存在する場合 true、しない場合 false,システム利用者
fun-045,入力検証・確認,日付フォーマット検証,入力された文字列が有効な日付フォーマット（例: YYYY-MM-DD）であるかを検証します。,日付文字列 (文字列),有効な日付の場合 true、無効な日付の場合 false,システム利用者
fun-046,入力検証・確認,時刻フォーマット検証,入力された文字列が有効な時刻フォーマット（例: HH:MM）であるかを検証します。,時刻文字列 (文字列),有効な時刻の場合 true、無効な時刻の場合 false,システム利用者
fun-047,入力検証・確認,予約時間重複チェック,指定された会議室と期間に対して、他の予約と時間が重複していないかをチェックします。,"会議室ID (文字列), 新しい予約の開始日時 (日時文字列), 新しい予約の終了日時 (日時文字列)",重複がない場合 true、重複がある場合 false,システム利用者
fun-048,入力検証・確認,削除確認プロンプト,重要な情報の削除を行う前に、ユーザーに削除を続行するかどうかを確認します。,確認メッセージ (文字列),ユーザーの回答（「はい」の場合 true、「いいえ」の場合 false）,システム利用者
fun-049,入力検証・確認,数値入力の検証,ユーザーからの入力が数値として有効であるかを検証します。,入力文字列 (文字列),数値として有効な場合 true、無効な場合 false,システム利用者
fun-050,入力検証・確認,日付期間の妥当性チェック,入力された開始日時が終了日時よりも前であるか、または同じであるかを確認します。,"開始日時 (日時文字列), 終了日時 (日時文字列)",期間が妥当な場合 true、妥当でない場合 false,システム利用者
